date,change_percent,dayNumber,year,is_quarter_end,high_ratio,low_ratio,daily_middle_ratio,Moving5DayClose_ratio,Moving10DayClose_ratio,Moving20DayClose_ratio,all_time_high_ratio,yearly_max_to_date_ratio,yearly_min_to_date_ratio,yearly_avg_to_date_ratio,monthly_max_to_date_ratio,monthly_min_to_date_ratio,monthly_avg_to_date_ratio,volume_vs_20d_ratio,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,close_vs_cumulativechange_ratio,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1985-10-28,-0.08,28,1985,0,0.9992099025546484,1.0054326222340002,1.0023116042533518,0.993679284816315,0.9956655046778433,1.014110859904888,0.9803195383489082,0.9803195383489082,1.0662295081967212,1.01690069538544,0.9803195383489082,1.0662295081967212,1.0147980233638922,0.8248936410526712,2.0,0,0,0,-68.3603603603601,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-10-29,1.39,29,1985,0,0.997105456430639,1.0140152014410615,1.0054892393482617,1.0057871984381537,1.0077062457702972,1.026697242196901,0.9939279100813918,0.9939279100813918,1.0810304449648713,1.0299709037682299,0.9939279100813918,1.0810304449648713,1.027746265333602,1.022029297339221,1.0,0,0,0,73.03797468354372,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-10-30,0.32,30,1985,0,0.9969429494079656,1.0037281082018379,1.0003240230704427,1.0077735316904166,1.009654378483033,1.0277283359891343,0.9969429494079656,0.9969429494079656,1.0844964871194378,1.0319658733553152,0.9969429494079656,1.0844964871194378,1.0296043489377786,1.214260938506516,2.0,0,0,0,59.36923076923068,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
1985-10-31,-0.25,31,1985,0,0.9945741107570408,1.0028222830098563,0.9986811666270297,1.005257843239667,1.0064756791619094,1.023060499481737,0.9944456404736276,0.9944456404736276,1.0817798594847776,1.02821018890884,0.9944456404736276,1.0817798594847776,1.0257594599395985,1.045153433100216,1.0,0,0,0,-398.2068965517351,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0
1985-11-01,0.69,1,1985,0,0.9957182616142154,1.0068843089712505,1.0012701556478871,1.0080278112510728,1.0116807691471081,1.0272822850680734,0.9957182616142154,0.9957182616142154,1.0892271662763466,1.034034001446701,0.9957182616142154,1.0068843089712505,1.0012701556478871,1.0973671228371489,1.0,0,0,0,146.25786163521983,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-04,-0.2,4,1985,0,0.9911595131326073,1.001856248650982,0.9964791756118506,1.0021331168550776,1.0075671733156202,1.021667737874079,0.9911595131326073,0.9911595131326073,1.0870257611241219,1.0306792435204677,0.9911595131326073,1.0048493245583652,0.9978609280777376,0.9115823225142926,1.0,0,0,0,-493.7872340425544,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-05,0.34,5,1985,0,0.9989276369407627,1.0048325854332067,1.0018714104411797,1.0037844501340505,1.0092876305057272,1.0210183878010926,0.9945761264146914,0.9945761264146914,1.0907728337236533,1.0331197513319916,0.9945761264146914,1.00831312781434,1.0014908256880735,1.0509535053758285,1.0,0,0,0,291.1000000000062,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-06,0.81,6,1985,0,0.9979595306920591,1.0080728272071453,1.0029906861488507,1.00908676701942,1.0153979238754325,1.0253274575145985,0.9979595306920591,0.9979595306920591,1.0995784543325526,1.0401730010333754,0.9979595306920591,1.0164530654658814,1.0079213446965631,1.1104644948277296,2.0,0,0,0,87.59701492537384,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-07,0.2,7,1985,0,0.9970754037214428,1.0020446413358324,0.9995538464806986,1.0074431910647446,1.015598354250584,1.0237640868745905,0.9970754037214428,0.9970754037214428,1.1018266978922717,1.0409087043606498,0.9970754037214428,1.0185313474194666,1.007879143619779,1.0457763095799906,3.0,0,0,0,74.44303797468363,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-08,1.39,8,1985,0,0.99891113158556,1.0142450142450143,1.0065196750712102,1.016293417868221,1.025023958194562,1.034342943749038,0.99891113158556,0.99891113158556,1.1171896955503513,1.0538706969383342,0.99891113158556,1.0327329407689643,1.0193307596974317,1.0189975629092405,4.0,0,0,0,37.03726708074536,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-11,0.96,11,1985,0,0.9988385598141696,1.0102366168820271,1.0045052561321541,1.0184401962442904,1.02900266224526,1.0409731888882163,0.9988385598141696,0.9988385598141696,1.1278688524590164,1.062096145438884,0.9988385598141696,1.0426047800484932,1.0254912696964167,0.9338553041215557,5.0,0,0,0,27.614678899082573,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-12,1.18,12,1985,0,0.9984427505942135,1.01187806296204,1.005115511551155,1.021157457081545,1.0354573156478832,1.0494215345916285,0.9984427505942135,0.9984427505942135,1.1411709601873536,1.0725034681477512,0.9984427505942135,1.0549012816072045,1.033412862520545,1.241758871753712,6.0,0,0,0,21.039723661485347,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-13,-0.54,13,1985,0,0.9938481729073535,1.002191894127378,0.998002594567881,1.0092625756957345,1.0251886824381493,1.0407084358667131,0.9930743381690026,0.9930743381690026,1.1350351288056206,1.064699963203639,0.9930743381690026,1.0492293037755456,1.0244514224381904,1.0652875796451327,1.0,0,0,0,-184.98473282443118,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-14,0.55,14,1985,0,0.9993438051101176,1.008567880794702,1.0039346558721134,1.0077670063525674,1.0253443132040378,1.0432842882251065,0.9985656913367755,0.9985656913367755,1.141311475409836,1.0686697975217092,0.9985656913367755,1.0550311742293037,1.027436826149104,1.1188460046105038,1.0,0,0,0,181.84328358209294,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-15,0.28,15,1985,0,0.9924857839155159,1.003161179078742,0.9977949283351709,1.0057293853258589,1.0231255260083658,1.042689015387504,0.9924857839155159,0.9924857839155159,1.1444964871194379,1.0695686730750402,0.9924857839155159,1.0579754069968825,1.0272614006390166,1.0842461661023701,2.0,0,0,0,120.96534653465456,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0
1985-11-18,-0.18,18,1985,0,0.9973421655217534,1.0018483529121827,0.9995901807302979,1.0013547910337466,1.0162493229448772,1.0371491685925496,0.9906986190089359,0.9906986190089359,1.1424355971896956,1.065782220549087,0.9906986190089359,1.0560703152060962,1.0232089857473965,0.9298932223328206,1.0,0,0,0,-554.340909090912,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0
1985-11-19,0.5,19,1985,0,0.9981270358306189,1.0068591612929725,1.0024740834645347,1.005166475315729,1.016183322555506,1.038788235767724,0.9956945572705118,0.9956945572705118,1.1481967213114754,1.0693252212811597,0.9956945572705118,1.061395912712158,1.0263295615389696,1.1367379640330748,1.0,0,0,0,199.30081300813174,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
