date,open,high,low,close,volume,change_percent,avg_vol_20d,daily_middle,dayNumber,year,is_quarter_end,Moving5DayClose,Moving10DayClose,Moving20DayClose,all_time_high,yearly_max_to_date,yearly_min_to_date,yearly_avg_to_date,monthly_max_to_date,monthly_min_to_date,monthly_avg_to_date,cumulativechange,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1985-12-06,128.46,128.54,126.775,126.955,221600000,-1.17,194543000.0,127.6575,6,1985,1,126.75399999999999,125.6655,123.68225,129.89,129.89,106.75,117.04110576923077,129.89,124.72,126.7565,-1.5050000000000097,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-09,126.955,127.645,126.83,127.485,209600000,0.42,196347000.0,127.2375,9,1985,1,127.21400000000001,126.01699999999998,124.09349999999999,129.89,129.89,106.75,117.23349056603773,129.89,124.72,126.83666666666666,0.5300000000000011,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-10,127.485,128.525,127.155,127.975,223600000,0.38,199488000.0,127.84,10,1985,1,127.763,126.501,124.47225,129.89,129.89,106.75,117.42990740740741,129.89,124.72,126.98,1.019999999999996,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-11,127.975,129.65,127.975,129.18,253000000,0.94,201308000.0,128.8125,11,1985,1,128.01100000000002,127.02399999999997,124.84025000000001,129.89,129.89,106.75,117.63686363636364,129.89,124.72,127.2090625,2.2250000000000085,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-12,129.18,130.1,129.18,129.765,234600000,0.45,203717000.0,129.64,12,1985,1,128.272,127.42349999999999,125.27025,130.1,130.1,106.75,117.85120535714285,130.1,124.72,127.47916666666667,2.809999999999988,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-13,129.765,132.17,129.765,132.125,263400000,1.82,207083000.0,130.96749999999997,13,1985,1,129.30599999999998,128.03,125.78475,132.17,132.17,106.75,118.08131578947368,132.17,124.72,127.828,5.170000000000002,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-16,132.125,133.185,132.06,132.61,230600000,0.37,209086000.0,132.6225,16,1985,1,130.331,128.77249999999998,126.3065,133.185,133.185,106.75,118.33202586206896,133.185,124.72,128.26386363636362,5.655000000000015,6.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
1985-12-17,132.545,132.73,131.325,131.535,242000000,-0.81,212965000.0,132.02749999999997,17,1985,1,131.043,129.403,126.7855,133.185,133.185,106.75,118.56415254237288,133.185,124.72,128.5775,-1.009999999999991,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
1985-12-18,131.525,131.975,130.715,131.14,275800000,-0.3,216575000.0,131.345,18,1985,1,131.435,129.723,127.21400000000001,133.185,133.185,106.75,118.77716666666667,133.185,124.72,128.7903846153846,-1.3950000000000102,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-19,131.14,132.03,130.91,131.925,229800000,0.6,218305000.0,131.47,19,1985,1,131.86700000000002,130.0695,127.70025000000001,133.185,133.185,106.75,118.98524590163935,133.185,124.72,128.9817857142857,0.785000000000025,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
